"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 04 20:51:12 GMT 2024","Thu Jan 04 20:51:15 GMT 2024","3593","tests","test_registration","TestRegistration","","","test_registration_with_existing_email","Test the registration process by attempting to sign up a new user with an existing email.

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Jan 04 20:50:57 GMT 2024","Thu Jan 04 20:51:03 GMT 2024","6170","tests","test_login","TestLogin","","","test_login_with_valid_credentials","Test the login process with correct email and password.

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Jan 04 20:50:54 GMT 2024","Thu Jan 04 20:51:00 GMT 2024","5382","tests","test_logout","TestLogout","","","test_logout","Test the logout process for a logged-in user with valid credentials.

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Jan 04 20:51:05 GMT 2024","Thu Jan 04 20:51:10 GMT 2024","5043","tests","test_products","TestProducts","","","test_search_product","Test searching for a product on the ALL PRODUCTS page.

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Jan 04 20:50:52 GMT 2024","Thu Jan 04 20:50:55 GMT 2024","3453","tests","test_contact_us","TestContactUs","","","test_contact_us_form_submission","Verify the proper functionality of the Contact Us form, including successful submission and navigation.

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Jan 04 20:51:01 GMT 2024","Thu Jan 04 20:51:05 GMT 2024","3465","tests","test_products","TestProducts","","","test_all_products_and_product_detail","Test the navigation to ALL PRODUCTS and the visibility of product details.

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Jan 04 20:51:15 GMT 2024","Thu Jan 04 20:51:18 GMT 2024","2145","tests","test_subscription","TestSubscription","","","test_subscription","Verify the subscription functionality on the home page.

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Jan 04 20:51:07 GMT 2024","Thu Jan 04 20:51:14 GMT 2024","6801","tests","test_registration","TestRegistration","","","test_registration_with_valid_credentials","Test the registration process by signing up a new user with valid credentials.

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Jan 04 20:51:17 GMT 2024","Thu Jan 04 20:51:18 GMT 2024","614","tests","test_test_cases","TestTestCases","","","test_navigation_to_test_cases","Verify successful navigation to the 'Test Cases' page from the home page.

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Thu Jan 04 20:50:51 GMT 2024","Thu Jan 04 20:50:53 GMT 2024","1134","tests","test_login","TestLogin","","","test_login_with_incorrect_credentials","Test the login process by attempting to log in with incorrect email and password.

        :param test_setup: setting up the browser and page objects
        :return: None
        "
